         2073510 function calls (2020593 primitive calls) in 128.153 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 <decorator-gen-102>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-103>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-104>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-105>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-106>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-107>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-108>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-109>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-10>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-110>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-111>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-112>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-113>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-114>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-115>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-116>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-117>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-11>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-12>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-13>:1(<module>)
        4    0.000    0.000    0.001    0.000 <decorator-gen-13>:1(needs_sqlite)
        1    0.000    0.000    0.000    0.000 <decorator-gen-14>:1(<module>)
        6    0.000    0.000    0.001    0.000 <decorator-gen-14>:1(catch_corrupt_db)
        1    0.000    0.000    0.000    0.000 <decorator-gen-15>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-16>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-17>:1(<module>)
