article_retrieved;article_word_amount;reference_word_amount;LSA_O_word_amount;LSA_S_word_amount;Relevance_word_amount;TextRank_word_amount;NER-summary_word_amount;LSA_O_ROUGE2-recall;LSA_O_ROUGE2-precision;LSA_O_ROUGE3-recall;LSA_O_ROUGE3-precision;LSA_S_ROUGE2-recall;LSA_S_ROUGE2-precision;LSA_S_ROUGE3-recall;LSA_S_ROUGE3-precision;Relevance_ROUGE2-recall;Relevance_ROUGE2-precision;Relevance_ROUGE3-recall;Relevance_ROUGE3-precision;TextRank_ROUGE2-recall;TextRank_ROUGE2-precision;TextRank_ROUGE3-recall;TextRank_ROUGE3-precision;NER-summary_ROUGE2-recall;NER-summary_ROUGE2-precision;NER-summary_ROUGE3-recall;NER-summary_ROUGE3-precision
2020-11-05 17:44:43.179693;5555;172;371;346;322;379;340;0.23976608187134502;0.1105121293800539;0.08235294117647059;0.03773584905660377;0.28654970760233917;0.1416184971098266;0.09411764705882353;0.046242774566473986;0.14035087719298245;0.07453416149068323;0.041176470588235294;0.021739130434782608;0.2046783625730994;0.09234828496042216;0.07058823529411765;0.0316622691292876;0.23976608187134502;0.12058823529411765;0.07647058823529412;0.03823529411764706
2020-11-05 17:44:49.256617;3762;38;116;116;107;117;98;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2020-11-05 17:44:51.782291;706;60;117;144;142;108;83;0.05084745762711865;0.02564102564102564;0.0;0.0;0.01694915254237288;0.006944444444444444;0.0;0.0;0.06779661016949153;0.028169014084507043;0.0;0.0;0.06779661016949153;0.037037037037037035;0.034482758620689655;0.018518518518518517;0.0847457627118644;0.060240963855421686;0.0;0.0
2020-11-05 17:44:53.353021;4566;91;201;243;226;248;129;0.022222222222222223;0.009950248756218905;0.0;0.0;0.022222222222222223;0.00823045267489712;0.0;0.0;0.06666666666666667;0.02654867256637168;0.0;0.0;0.06666666666666667;0.024193548387096774;0.0;0.0;0.044444444444444446;0.031007751937984496;0.0;0.0
2020-11-05 17:44:58.834294;2379;73;133;147;159;177;159;0.027777777777777776;0.015037593984962405;0.0;0.0;0.06944444444444445;0.034013605442176874;0.0;0.0;0.05555555555555555;0.025157232704402517;0.0;0.0;0.05555555555555555;0.022598870056497175;0.0;0.0;0.041666666666666664;0.018867924528301886;0.0;0.0
2020-11-05 17:45:05.725112;1864;83;138;138;142;152;141;0.12195121951219512;0.07246376811594203;0.0;0.0;0.12195121951219512;0.07246376811594203;0.0;0.0;0.10975609756097561;0.06338028169014084;0.0;0.0;0.0975609756097561;0.05263157894736842;0.0;0.0;0.34146341463414637;0.19858156028368795;0.20987654320987653;0.12056737588652482
2020-11-05 17:45:08.275391;987;47;132;143;156;138;126;0.08695652173913043;0.030303030303030304;0.0;0.0;0.043478260869565216;0.013986013986013986;0.0;0.0;0.043478260869565216;0.01282051282051282;0.0;0.0;0.043478260869565216;0.014492753623188406;0.0;0.0;0.043478260869565216;0.015873015873015872;0.0;0.0
2020-11-05 17:45:10.579069;528;35;77;78;79;79;67;0.11764705882352941;0.05194805194805195;0.06060606060606061;0.025974025974025976;0.4411764705882353;0.19230769230769232;0.30303030303030304;0.1282051282051282;0.4411764705882353;0.189873417721519;0.30303030303030304;0.12658227848101267;0.4411764705882353;0.189873417721519;0.30303030303030304;0.12658227848101267;0.6764705882352942;0.34328358208955223;0.5151515151515151;0.2537313432835821
2020-11-05 17:45:12.695541;587;40;94;87;79;85;95;0.358974358974359;0.14893617021276595;0.23684210526315788;0.09574468085106383;0.07692307692307693;0.034482758620689655;0.0;0.0;0.07692307692307693;0.0379746835443038;0.0;0.0;0.358974358974359;0.16470588235294117;0.23684210526315788;0.10588235294117647;0.1794871794871795;0.07368421052631578;0.05263157894736842;0.021052631578947368
2020-11-05 17:45:14.543201;1957;71;146;157;157;142;147;0.02857142857142857;0.0136986301369863;0.0;0.0;0.014285714285714285;0.006369426751592357;0.0;0.0;0.014285714285714285;0.006369426751592357;0.0;0.0;0.04285714285714286;0.02112676056338028;0.0;0.0;0.08571428571428572;0.04081632653061224;0.0;0.0
2020-11-05 17:45:16.478056;1301;60;98;154;138;136;132;0.0847457627118644;0.05102040816326531;0.0;0.0;0.03389830508474576;0.012987012987012988;0.0;0.0;0.03389830508474576;0.014492753623188406;0.0;0.0;0.01694915254237288;0.007352941176470588;0.0;0.0;0.0;0.0;0.0;0.0
2020-11-05 17:45:18.302808;1057;135;267;276;269;292;249;0.2835820895522388;0.14232209737827714;0.21052631578947367;0.10486891385767791;0.26865671641791045;0.13043478260869565;0.19548872180451127;0.09420289855072464;0.07462686567164178;0.03717472118959108;0.022556390977443608;0.011152416356877323;0.27611940298507465;0.1267123287671233;0.19548872180451127;0.08904109589041095;0.22388059701492538;0.12048192771084337;0.19548872180451127;0.10441767068273092
2020-11-05 17:45:21.527094;1395;184;266;318;331;330;274;0.12568306010928962;0.08646616541353383;0.038461538461538464;0.02631578947368421;0.2786885245901639;0.16037735849056603;0.13186813186813187;0.07547169811320754;0.3224043715846995;0.1782477341389728;0.17032967032967034;0.09365558912386707;0.2896174863387978;0.1606060606060606;0.1043956043956044;0.05757575757575758;0.25136612021857924;0.1678832116788321;0.11538461538461539;0.07664233576642336
