article_retrieved;article_word_amount;reference_word_amount;LSA_O_word_amount;LSA_O_execution_time;LSA_S_word_amount;LSA_S_execution_time;Relevance_word_amount;Relevance_execution_time;TextRank_word_amount;TextRank_execution_time;NER-summary_word_amount;NER_execution_time;LSA_O_ROUGE2-recall;LSA_O_ROUGE2-precision;LSA_O_ROUGE3-recall;LSA_O_ROUGE3-precision;LSA_S_ROUGE2-recall;LSA_S_ROUGE2-precision;LSA_S_ROUGE3-recall;LSA_S_ROUGE3-precision;Relevance_ROUGE2-recall;Relevance_ROUGE2-precision;Relevance_ROUGE3-recall;Relevance_ROUGE3-precision;TextRank_ROUGE2-recall;TextRank_ROUGE2-precision;TextRank_ROUGE3-recall;TextRank_ROUGE3-precision;NER-summary_ROUGE2-recall;NER-summary_ROUGE2-precision;NER-summary_ROUGE3-recall;NER-summary_ROUGE3-precision
2020-11-07 12:05:22.365109;5555;172;371;0.11951270000000003;346;0.10490680000000019;322;0.10604430000000065;379;0.4832508999999998;340;0.8980684999999999;0.23976608187134502;0.1105121293800539;0.08235294117647059;0.03773584905660377;0.28654970760233917;0.1416184971098266;0.09411764705882353;0.046242774566473986;0.14035087719298245;0.07453416149068323;0.041176470588235294;0.021739130434782608;0.2046783625730994;0.09234828496042216;0.07058823529411765;0.0316622691292876;0.23976608187134502;0.12058823529411765;0.07647058823529412;0.03823529411764706
2020-11-07 12:05:27.859582;3762;38;116;0.0699114999999999;116;0.06896219999999964;107;0.06794999999999973;117;0.18331820000000043;98;0.5659075999999992;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2020-11-07 12:05:30.040332;706;60;117;0.014904700000000659;144;0.0145199999999992;142;0.013548899999999975;108;0.05593640000000022;83;0.10407070000000118;0.05084745762711865;0.02564102564102564;0.0;0.0;0.01694915254237288;0.006944444444444444;0.0;0.0;0.06779661016949153;0.028169014084507043;0.0;0.0;0.06779661016949153;0.037037037037037035;0.034482758620689655;0.018518518518518517;0.0847457627118644;0.060240963855421686;0.0;0.0
2020-11-07 12:05:31.924294;4566;91;201;0.08143279999999997;243;0.08164410000000011;226;0.08053689999999847;248;0.1933764999999994;129;0.6642332999999994;0.022222222222222223;0.009950248756218905;0.0;0.0;0.022222222222222223;0.00823045267489712;0.0;0.0;0.06666666666666667;0.02654867256637168;0.0;0.0;0.06666666666666667;0.024193548387096774;0.0;0.0;0.044444444444444446;0.031007751937984496;0.0;0.0
2020-11-07 12:05:34.619385;2379;73;133;0.044438500000001824;147;0.0443427000000014;159;0.0431260999999985;177;0.09262440000000183;159;0.28864160000000183;0.027777777777777776;0.015037593984962405;0.0;0.0;0.06944444444444445;0.034013605442176874;0.0;0.0;0.05555555555555555;0.025157232704402517;0.0;0.0;0.05555555555555555;0.022598870056497175;0.0;0.0;0.041666666666666664;0.018867924528301886;0.0;0.0
2020-11-07 12:05:36.559264;1864;83;138;0.03632479999999916;138;0.03782419999999931;142;0.035327899999998635;152;0.11227699999999885;141;0.2569583999999985;0.12195121951219512;0.07246376811594203;0.0;0.0;0.12195121951219512;0.07246376811594203;0.0;0.0;0.12195121951219512;0.07042253521126761;0.012345679012345678;0.007042253521126761;0.0975609756097561;0.05263157894736842;0.0;0.0;0.35365853658536583;0.20567375886524822;0.2222222222222222;0.1276595744680851
2020-11-07 12:05:38.521223;987;47;132;0.01968610000000126;143;0.019519299999998907;156;0.018730099999999084;138;0.035766399999999976;126;0.14291869999999918;0.08695652173913043;0.030303030303030304;0.0;0.0;0.06521739130434782;0.02097902097902098;0.0;0.0;0.08695652173913043;0.02564102564102564;0.0;0.0;0.06521739130434782;0.021739130434782608;0.0;0.0;0.043478260869565216;0.015873015873015872;0.0;0.0
2020-11-07 12:05:39.930863;528;35;77;0.012577900000000142;78;0.012338499999998476;79;0.011328100000000063;79;0.022496100000001462;67;0.07936200000000326;0.14705882352941177;0.06493506493506493;0.09090909090909091;0.03896103896103896;0.47058823529411764;0.20512820512820512;0.3333333333333333;0.14102564102564102;0.47058823529411764;0.20253164556962025;0.3333333333333333;0.13924050632911392;0.47058823529411764;0.20253164556962025;0.3333333333333333;0.13924050632911392;0.6764705882352942;0.34328358208955223;0.5151515151515151;0.2537313432835821
2020-11-07 12:05:41.052107;587;40;94;0.01217150000000089;87;0.011802299999999377;79;0.011398200000002134;85;0.01736129999999747;95;0.08297990000000155;0.38461538461538464;0.1595744680851064;0.23684210526315788;0.09574468085106383;0.07692307692307693;0.034482758620689655;0.0;0.0;0.07692307692307693;0.0379746835443038;0.0;0.0;0.38461538461538464;0.17647058823529413;0.23684210526315788;0.10588235294117647;0.20512820512820512;0.08421052631578947;0.05263157894736842;0.021052631578947368
2020-11-07 12:05:42.056812;1957;71;146;0.03644680000000022;157;0.03705009999999831;157;0.03623449999999906;142;0.08952690000000274;147;0.2717421000000009;0.02857142857142857;0.0136986301369863;0.0;0.0;0.014285714285714285;0.006369426751592357;0.0;0.0;0.014285714285714285;0.006369426751592357;0.0;0.0;0.04285714285714286;0.02112676056338028;0.0;0.0;0.08571428571428572;0.04081632653061224;0.0;0.0
2020-11-07 12:05:44.587045;1301;60;98;0.025720299999999696;154;0.025673399999998736;138;0.024954199999999815;136;0.0635456000000012;132;0.16342790000000207;0.15254237288135594;0.09183673469387756;0.0;0.0;0.06779661016949153;0.025974025974025976;0.0;0.0;0.06779661016949153;0.028985507246376812;0.0;0.0;0.03389830508474576;0.014705882352941176;0.0;0.0;0.0;0.0;0.0;0.0
