Wed Nov  4 15:51:04 2020    parserFindFacetsResults.dat

         16134 function calls (16133 primitive calls) in 0.042 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.8/contextlib.py:82(__init__)
        4    0.000    0.000    0.000    0.000 /usr/lib/python3.8/inspect.py:63(ismodule)
        4    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.8/genericpath.py:16(exists)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.8/inspect.py:726(getmodule)
        9    0.000    0.000    0.000    0.000 /usr/lib/python3.8/inspect.py:260(iscode)
        6    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.8/site-packages/memory_profiler.py:646(items)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.8/site-packages/memory_profiler.py:705(wrap_function)
        2    0.000    0.000    0.000    0.000 {built-in method builtins.any}
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.8/site-packages/memory_profiler.py:805(disable)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.8/inspect.py:894(__init__)
        1    0.000    0.000    0.042    0.042 <string>:1(<module>)
        3    0.000    0.000    0.000    0.000 /usr/lib/python3.8/inspect.py:80(ismethod)
       11    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
        4    0.000    0.000    0.000    0.000 /usr/lib/python3.8/site-packages/memory_profiler.py:1167(<genexpr>)
        1    0.000    0.000    0.000    0.000 /home/ff/.local/lib/python3.8/site-packages/bs4/element.py:1408(__iter__)
        1    0.000    0.000    0.001    0.001 /usr/lib/python3.8/site-packages/memory_profiler.py:685(add_function)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.8/site-packages/memory_profiler.py:731(enable_by_count)
        3    0.000    0.000    0.000    0.000 /usr/lib/python3.8/inspect.py:158(isfunction)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.8/inspect.py:510(_is_wrapper)
        3    0.000    0.000    0.000    0.000 /usr/lib/python3.8/inspect.py:699(<genexpr>)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.8/contextlib.py:238(helper)
        4    0.000    0.000    0.000    0.000 /usr/lib/python3.8/inspect.py:702(<genexpr>)
        3    0.000    0.000    0.000    0.000 /usr/lib/python3.8/inspect.py:236(istraceback)
        3    0.000    0.000    0.000    0.000 /usr/lib/python3.8/inspect.py:246(isframe)
        2    0.000    0.000    0.000    0.000 {built-in method sys.settrace}
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.8/inspect.py:189(iscoroutinefunction)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.8/tokenize.py:612(generate_tokens)
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.8/inspect.py:72(isclass)
